product_id,cluster_dtw
20210,1
20213,1
20218,4
20236,1
20257,1
20261,1
20262,4
20266,4
20275,0
20276,2
20278,2
20281,0
20285,3
20286,1
20288,2
20290,3
20291,3
20292,2
20295,3
20296,2
20297,4
20298,3
20300,2
20301,0
20302,3
20303,0
20304,2
20305,3
20306,4
20307,2
20309,0
20310,0
20313,4
20314,0
20315,0
20316,1
20317,2
20319,3
20320,2
20321,4
20323,4
20324,0
20325,3
20326,2
20327,0
20328,3
20329,2
20330,2
20332,0
20334,3
20335,2
20336,0
20337,3
20338,2
20340,3
20341,2
20342,2
20343,3
20344,3
20346,0
20348,4
20349,0
20350,3
20351,4
20352,3
20353,2
20354,2
20355,1
20356,0
20357,0
20358,0
20359,0
20361,3
20362,3
20364,4
20365,2
20366,0
20367,0
20368,4
20372,0
20375,2
20377,3
20378,4
20379,0
20380,2
20381,2
20382,2
20383,0
20384,3
20385,2
20386,2
20387,4
20388,0
20389,4
20390,3
20395,4
20396,0
20398,3
20400,2
20401,2
20402,4
20403,3
20404,0
20406,2
20407,0
20408,4
20409,2
20410,0
20411,2
20414,1
20415,4
20416,3
20417,3
20418,3
20419,2
20421,0
20422,3
20424,2
20426,2
20428,3
20429,3
20432,2
20433,3
20434,2
20438,2
20440,1
20442,1
20443,0
20447,3
20449,3
20450,0
20453,3
20456,0
20458,1
20459,4
20460,1
20463,3
20464,0
20465,2
20466,0
20469,0
20470,0
20473,3
20474,2
20476,1
20477,1
20478,4
20479,3
20480,2
20481,4
20482,3
20483,0
20484,2
20488,4
20490,3
20491,1
20495,4
20496,3
20497,0
20500,2
20502,2
20503,4
20505,2
20508,4
20509,3
20510,1
20513,4
20514,3
20517,0
20520,3
20521,1
20522,4
20523,4
20524,0
20525,1
20526,1
20527,4
20530,0
20531,1
20532,0
20536,2
20537,1
20538,3
20539,2
20540,4
20541,4
20542,3
20544,3
20547,4
20548,1
20549,0
20551,2
20552,4
20553,4
20555,3
20558,1
20559,4
20560,0
20561,3
20563,3
20565,3
20567,3
20568,0
20569,1
20570,3
20571,4
20572,0
20574,4
20575,1
20576,4
20577,1
20578,3
20579,0
20580,1
20583,2
20585,3
20586,3
20588,3
20589,4
20592,1
20593,1
20596,0
20597,3
20599,2
20600,2
20601,3
20602,3
20603,1
20604,4
20605,2
20606,0
20609,0
20611,4
20612,3
20614,2
20615,1
20617,3
20620,1
20621,1
20622,3
20623,1
20624,4
20627,1
20628,0
20629,2
20632,2
20633,1
20636,3
20637,0
20638,4
20639,2
20640,0
20641,0
20642,3
20644,2
20646,4
20647,3
20649,4
20651,0
20652,0
20653,0
20654,2
20655,2
20657,4
20658,3
20659,1
20660,2
20661,2
20662,1
20663,3
20664,3
20666,3
20667,4
20670,3
20672,0
20673,1
20674,1
20676,2
20677,2
20678,3
20679,1
20680,2
20681,1
20682,4
20684,2
20685,3
20686,1
20689,4
20691,1
20693,0
20694,1
20696,2
20697,2
20699,3
20700,4
20701,2
20702,0
20703,1
20705,0
20706,0
20708,3
20709,1
20711,1
20713,0
20714,3
20715,2
20719,1
20720,1
20721,2
20724,4
20729,3
20730,2
20732,1
20733,0
20735,2
20737,3
20739,2
20741,4
20742,4
20743,3
20744,2
20745,0
20746,1
20749,3
20750,3
20751,4
20754,1
20756,2
20757,1
20758,4
20759,2
20761,3
20762,1
20765,3
20768,2
20771,3
20772,1
20773,3
20774,1
20775,4
20777,3
20781,2
20783,4
20785,1
20786,0
20788,2
20789,2
20793,4
20795,1
20800,0
20801,3
20802,2
20803,2
20807,0
20809,4
20810,0
20811,4
20812,0
20815,1
20817,1
20818,4
20820,0
20822,1
20823,2
20824,3
20826,3
20827,1
20828,0
20830,2
20831,4
20832,3
20835,1
20838,2
20840,2
20843,0
20845,4
20846,3
20847,2
20849,2
20852,3
20853,4
20855,3
20859,1
20862,3
20863,3
20864,2
20865,0
20870,0
20877,3
20878,3
20879,0
20882,3
20883,4
20885,3
20886,1
20892,3
20894,0
20899,1
20901,0
20902,4
20904,1
20906,4
20907,1
20908,4
20910,1
20912,1
20913,3
20914,4
20917,1
20919,2
20920,1
20922,0
20924,1
20925,0
20927,1
20928,1
20931,3
20932,1
20933,1
20936,0
20937,3
20941,2
20942,1
20945,4
20946,1
20947,2
20948,3
20949,0
20951,4
20953,1
20956,4
20957,3
20961,2
20962,1
20965,0
20966,1
20967,4
20968,1
20970,2
20975,1
20976,0
20982,2
20985,4
20986,0
20987,1
20990,4
20991,3
20994,0
20995,1
20996,3
20997,4
21001,4
21003,3
21006,1
21007,1
21008,0
21014,2
21016,2
21022,4
21024,2
21027,4
21028,0
21032,2
21033,1
21034,4
21035,1
21037,4
21038,3
21039,1
21040,4
21042,1
21044,1
21048,2
21049,2
21055,3
21056,4
21057,0
21058,1
21064,4
21065,4
21073,1
21074,1
21077,2
21079,1
21080,3
21084,4
21086,1
21087,1
21088,2
21092,1
21093,4
21097,1
21099,4
21105,4
21109,1
21110,1
21111,1
21112,1
21114,1
21118,3
21119,1
21126,4
21129,1
21131,0
21135,4
21140,1
21142,4
21144,1
21146,1
21153,4
21154,1
21155,4
21157,4
21159,4
21163,4
21164,4
21167,4
21168,4
21170,2
21171,1
21176,4
21179,1
21180,4
21182,2
21184,4
21190,0
21191,4
21192,2
21194,4
21196,1
21200,0
21201,4
21202,2
21207,4
21209,4
21212,4
21214,1
21218,2
21222,2
21224,3
21226,4
21227,1
21233,4
21244,4
21245,4
21246,4
21248,4
21252,4
21256,4
21259,4
21262,4
21263,4
21265,4
21266,4
21267,4
21276,4
