product_id,cluster_dtw
20001,3
20002,3
20003,0
20004,0
20005,3
20006,3
20007,3
20008,3
20009,3
20010,0
20011,3
20012,0
20013,3
20014,3
20015,3
20016,3
20017,3
20018,3
20019,3
20020,0
20021,3
20022,0
20023,3
20024,0
20025,2
20026,3
20027,3
20028,0
20029,3
20030,3
20031,3
20032,4
20033,3
20035,0
20037,3
20038,2
20039,3
20041,0
20042,3
20043,3
20044,0
20045,3
20046,0
20047,0
20049,2
20050,3
20051,3
20052,3
20053,3
20054,3
20055,3
20056,3
20057,3
20058,3
20059,0
20061,0
20062,0
20063,3
20065,3
20066,0
20067,0
20068,3
20069,0
20070,0
20071,0
20072,3
20073,1
20074,3
20075,3
20076,3
20077,3
20079,3
20080,0
20081,3
20082,3
20084,4
20085,1
20086,3
20087,3
20089,1
20090,3
20091,3
20092,3
20093,3
20094,0
20095,3
20096,3
20097,3
20099,3
20100,3
20101,0
20102,3
20103,3
20106,3
20107,0
20108,3
20109,3
20111,3
20112,2
20114,3
20116,1
20117,0
20118,0
20119,3
20120,0
20121,1
20122,2
20123,0
20124,3
20125,0
20126,1
20127,4
20129,0
20130,1
20132,3
20133,3
20134,3
20135,1
20137,3
20138,0
20139,0
20140,2
20142,1
20143,1
20144,0
20145,4
20146,0
20148,1
20150,2
20151,0
20152,3
20153,4
20155,4
20157,4
20158,4
20159,1
20160,3
20161,3
20162,4
20164,1
20166,3
20167,4
20168,3
20170,1
20174,4
20175,0
20176,0
20177,3
20179,1
20180,3
20181,3
20182,0
20183,3
20184,3
20187,0
20188,0
20189,3
20192,3
20193,3
20196,0
20197,3
20198,0
20200,0
20201,0
20202,2
20203,1
20205,3
20206,3
20207,0
20208,0
20209,3
20210,4
20211,3
20212,0
20213,4
20215,0
20216,3
20218,1
20219,0
20220,0
20222,3
20224,2
20225,3
20226,3
20227,4
20228,3
20230,0
20231,0
20232,4
20233,0
20234,3
20235,1
20236,4
20237,2
20238,0
20239,3
20240,3
20241,0
20242,3
20244,0
20246,0
20249,3
20251,0
20252,0
20253,3
20254,2
20255,0
20256,0
20257,4
20259,3
20261,4
20262,2
20263,3
20264,0
20265,3
20266,1
20267,3
20268,3
20269,2
20270,3
20271,3
20272,3
20273,0
20275,3
20276,3
20277,0
20278,3
20280,3
20281,3
20282,0
20283,0
20284,0
20285,3
20286,4
20288,0
20289,0
20290,3
20291,2
20292,0
20295,2
20296,0
20297,1
20298,2
20299,0
20300,0
20301,2
20302,3
20303,3
20304,3
20305,3
20306,2
20307,3
20309,3
20310,3
20311,3
20313,1
20314,3
20315,3
20316,4
20317,0
20319,2
20320,3
20321,4
20322,0
20323,2
20324,3
20325,3
20326,3
20327,0
20328,3
20329,3
20330,3
20332,3
20334,2
20335,0
20336,3
20337,2
20338,0
20340,1
20341,0
20342,3
20343,2
20344,2
20346,0
20348,2
20349,3
20350,3
20351,1
20352,0
20353,0
20354,3
20355,4
20356,0
20357,0
20358,0
20359,3
20361,1
20362,3
20364,1
20365,0
20366,3
20367,3
20368,1
20372,3
20375,3
20377,2
20378,2
20379,0
20380,3
20381,0
20382,2
20383,2
20384,3
20385,0
20386,3
20387,2
20388,0
20389,1
20390,2
20395,1
20396,3
20398,3
20400,3
20401,3
20402,2
20403,2
20404,3
20406,0
20407,0
20408,2
20409,3
20410,0
20411,0
20414,4
20415,2
20416,3
20417,2
20418,3
20419,3
20421,0
20422,3
20424,0
20426,3
20428,3
20429,3
20432,0
20433,3
20434,3
20438,0
20440,4
20442,4
20443,3
20447,2
20449,3
20450,3
20453,2
20456,0
20458,4
20459,2
20460,1
20463,3
20464,3
20465,0
20466,0
20469,0
20470,0
20473,3
20474,0
20476,4
20477,1
20478,2
20479,1
20480,0
20481,1
20482,3
20483,3
20484,0
20488,1
20490,3
20491,4
20495,1
20496,2
20497,2
20500,3
20502,0
20503,1
20505,3
20508,2
20509,3
20510,4
20513,1
20514,3
20517,3
20520,0
20521,4
20522,2
20523,1
20524,3
20525,4
20526,4
20527,1
20530,0
20531,4
20532,0
20536,0
20537,4
20538,3
20539,0
20540,1
20541,1
20542,2
20544,2
20547,1
20548,4
20549,3
20551,3
20552,2
20553,1
20555,3
20558,1
20559,1
20560,0
20561,3
20563,2
20565,3
20567,2
20568,0
20569,1
20570,3
20571,1
20572,3
20574,2
20575,4
20576,1
20577,4
20578,3
20579,0
20580,1
20583,0
20585,2
20586,3
20588,2
20589,2
20592,4
20593,4
20596,3
20597,3
20599,0
20600,3
20601,3
20602,3
20603,4
20604,1
20605,0
20606,3
20609,3
20611,1
20612,3
20614,3
20615,4
20617,3
20620,4
20621,4
20622,3
20623,1
20624,2
20627,1
20628,3
20629,3
20632,0
20633,4
20636,3
20637,0
20638,1
20639,3
20640,0
20641,3
20642,3
20644,3
20646,2
20647,3
20649,4
20651,3
20652,3
20653,3
20654,0
20655,0
20657,2
20658,3
20659,4
20660,3
20661,0
20662,4
20663,3
20664,3
20666,3
20667,2
20670,2
20672,0
20673,4
20674,4
20676,3
20677,3
20678,3
20679,1
20680,0
20681,4
20682,1
20684,3
20685,3
20686,4
20689,1
20691,2
20693,3
20694,4
20696,0
20697,0
20699,2
20700,1
20701,0
20702,3
20703,4
20705,3
20706,3
20708,3
20709,1
20711,4
20713,3
20714,3
20715,3
20719,4
20720,4
20721,3
20724,2
20729,3
20730,3
20732,4
20733,0
20735,0
20737,3
20739,0
20741,2
20742,2
20743,2
20744,0
20745,3
20746,1
20749,2
20750,2
20751,2
20754,4
20756,0
20757,2
20758,2
20759,0
20761,3
20762,4
20765,3
20768,3
20771,2
20772,4
20773,3
20774,4
20775,2
20777,2
20781,3
20783,1
20785,4
20786,3
20788,3
20789,0
20793,1
20795,4
20800,3
20801,2
20802,0
20803,3
20807,2
20809,2
20810,0
20811,1
20812,3
20815,4
20817,1
20818,2
20820,3
20822,4
20823,0
20824,3
20826,3
20827,4
20828,0
20830,0
20831,1
20832,2
20835,1
20838,0
20840,0
20843,3
20845,4
20846,3
20847,3
20849,0
20852,3
20853,1
20855,2
20859,4
20862,2
20863,0
20864,2
20865,2
20870,3
20877,2
20878,3
20879,0
20882,2
20883,2
20885,2
20886,4
20892,2
20894,3
20899,4
20901,0
20902,1
20904,4
20906,2
20907,2
20908,1
20910,4
20912,4
20913,3
20914,2
20917,1
20919,0
20920,4
20922,0
20924,4
20925,3
20927,4
20928,4
20931,3
20932,4
20933,4
20936,0
20937,3
20941,0
20942,4
20945,2
20946,4
20947,0
20948,3
20949,3
20951,2
20953,4
20956,2
20957,3
20961,0
20962,4
20965,2
20966,4
20967,1
20968,4
20970,3
20975,4
20976,2
20982,0
20985,2
20986,2
20987,2
20990,1
20991,3
20994,2
20995,4
20996,2
20997,2
21001,1
21003,2
21006,4
21007,4
21008,0
21014,3
21016,0
21022,1
21024,0
21027,1
21028,2
21032,3
21033,4
21034,2
21035,4
21037,1
21038,3
21039,4
21040,2
21042,4
21044,4
21048,0
21049,0
21055,3
21056,1
21057,3
21058,4
21064,4
21065,2
21073,4
21074,4
21077,0
21079,4
21080,3
21084,1
21086,4
21087,4
21088,3
21092,4
21093,4
21097,4
21099,2
21105,1
21109,4
21110,4
21111,4
21112,4
21114,4
21118,2
21119,4
21126,1
21129,4
21131,3
21135,4
21140,4
21142,2
21144,4
21146,4
21153,1
21154,4
21155,2
21157,2
21159,1
21163,4
21164,1
21167,2
21168,1
21170,0
21171,4
21176,1
21179,1
21180,2
21182,3
21184,2
21190,3
21191,2
21192,0
21194,2
21196,4
21200,0
21201,1
21202,0
21207,2
21209,2
21212,2
21214,4
21218,0
21222,0
21224,3
21226,2
21227,4
21233,2
21244,2
21245,2
21246,2
21248,2
21252,4
21256,2
21259,2
21262,2
21263,2
21265,2
21266,2
21267,2
21276,2
