product_id,cluster_dtw
20001,4
20002,4
20003,0
20004,4
20005,2
20006,2
20007,2
20008,2
20009,4
20010,2
20011,2
20012,2
20013,2
20014,3
20015,2
20016,2
20017,2
20018,2
20019,0
20020,2
20021,2
20022,2
20023,2
20024,2
20025,2
20026,2
20027,2
20028,2
20029,2
20030,2
20031,2
20032,1
20033,2
20035,0
20037,2
20038,2
20039,2
20041,0
20042,2
20043,2
20044,0
20045,2
20046,0
20047,2
20049,3
20050,2
20051,2
20052,2
20053,0
20054,2
20055,2
20056,2
20057,2
20058,2
20059,2
20061,2
20062,0
20063,2
20065,0
20066,2
20067,0
20068,2
20069,0
20070,0
20071,2
20072,2
20073,3
20074,2
20075,2
20076,2
20077,2
20079,2
20080,2
20081,2
20082,2
20084,4
20085,4
20086,2
20087,2
20089,4
20090,2
20091,2
20092,0
20093,2
20094,2
20095,2
20096,2
20097,0
20099,2
20100,2
20101,2
20102,0
20103,0
20106,2
20107,2
20108,0
20109,2
20111,2
20112,4
20114,2
20116,1
20117,2
20118,0
20119,4
20120,0
20121,4
20122,2
20123,2
20124,2
20125,2
20126,4
20127,1
20129,2
20130,4
20132,2
20133,2
20134,2
20135,4
20137,2
20138,0
20139,3
20140,2
20142,2
20143,4
20144,2
20145,4
20146,2
20148,1
20150,4
20151,0
20152,0
20153,4
20155,4
20157,4
20158,1
20159,4
20160,0
20161,2
20162,1
20164,4
20166,2
20167,2
20168,2
20170,4
20174,1
20175,0
20176,2
20177,0
20179,2
20180,2
20181,0
20182,2
20183,0
20184,2
20187,2
20188,2
20189,2
20192,2
20193,2
20196,3
20197,2
20198,0
20200,0
20201,2
20202,4
20203,4
20205,0
20206,2
20207,0
20208,0
20209,2
20210,1
20211,2
20212,0
20213,1
20215,0
20216,2
20218,4
20219,0
20220,2
20222,0
20224,4
20225,3
20226,2
20227,1
20228,2
20230,3
20231,0
20232,1
20233,1
20234,2
20235,1
20236,1
20237,4
20238,0
20239,0
20240,2
20241,0
20242,2
20244,2
20246,2
20249,0
20251,2
20252,0
20253,2
20254,3
20255,2
20256,0
20257,1
20259,2
20261,1
20262,4
20263,0
20264,0
20265,2
20266,4
20267,2
20268,2
20269,0
20270,2
20271,2
20272,0
20273,2
20275,0
20276,0
20277,2
20278,2
20280,2
20281,2
20282,0
20283,2
20284,0
20285,2
20286,1
20288,0
20289,2
20290,2
20291,3
20292,2
20295,3
20296,0
20297,4
20298,3
20299,4
20300,0
20301,2
20302,2
20303,2
20304,2
20305,2
20306,4
20307,0
20309,0
20310,0
20311,2
20313,4
20314,2
20315,0
20316,1
20317,0
20319,3
20320,0
20321,4
20322,0
20323,4
20324,3
20325,2
20326,0
20327,2
20328,2
20329,2
20330,0
20332,2
20334,4
20335,0
20336,2
20337,3
20338,0
20340,4
20341,2
20342,0
20343,3
20344,3
20346,2
20348,3
20349,2
20350,2
20351,3
20352,1
20353,0
20354,0
20355,1
20356,2
20357,0
20358,2
20359,0
20361,4
20362,0
20364,4
20365,2
20366,2
20367,2
20368,3
20372,2
20375,2
20377,3
20378,4
20379,2
20380,2
20381,1
20382,2
20383,2
20384,0
20385,0
20386,2
20387,3
20388,0
20389,4
20390,3
20395,4
20396,0
20398,2
20400,0
20401,0
20402,4
20403,3
20404,2
20406,0
20407,0
20408,4
20409,2
20410,0
20411,0
20414,1
20415,3
20416,2
20417,3
20418,2
20419,2
20421,2
20422,2
20424,0
20426,2
20428,2
20429,2
20432,2
20433,0
20434,0
20438,0
20440,1
20442,1
20443,2
20447,3
20449,2
20450,2
20453,3
20456,2
20458,1
20459,4
20460,1
20463,3
20464,2
20465,0
20466,2
20469,0
20470,2
20473,2
20474,2
20476,1
20477,1
20478,3
20479,3
20480,2
20481,4
20482,2
20483,0
20484,0
20488,3
20490,2
20491,1
20495,4
20496,3
20497,3
20500,0
20502,2
20503,4
20505,0
20508,4
20509,2
20510,1
20513,4
20514,3
20517,2
20520,2
20521,1
20522,4
20523,4
20524,2
20525,1
20526,1
20527,4
20530,2
20531,1
20532,2
20536,0
20537,1
20538,2
20539,0
20540,4
20541,3
20542,3
20544,3
20547,1
20548,1
20549,2
20551,0
20552,4
20553,4
20555,2
20558,1
20559,4
20560,2
20561,2
20563,3
20565,3
20567,3
20568,2
20569,1
20570,3
20571,4
20572,0
20574,4
20575,1
20576,4
20577,1
20578,3
20579,2
20580,1
20583,0
20585,3
20586,2
20588,3
20589,4
20592,1
20593,1
20596,2
20597,2
20599,0
20600,0
20601,2
20602,3
20603,1
20604,4
20605,0
20606,2
20609,2
20611,4
20612,3
20614,2
20615,1
20617,2
20620,1
20621,1
20622,2
20623,1
20624,4
20627,1
20628,2
20629,2
20632,0
20633,1
20636,2
20637,0
20638,4
20639,0
20640,0
20641,0
20642,2
20644,0
20646,3
20647,2
20649,1
20651,2
20652,2
20653,0
20654,0
20655,0
20657,4
20658,3
20659,1
20660,2
20661,2
20662,1
20663,2
20664,2
20666,2
20667,4
20670,2
20672,0
20673,1
20674,1
20676,2
20677,2
20678,2
20679,4
20680,0
20681,1
20682,4
20684,2
20685,2
20686,1
20689,4
20691,1
20693,0
20694,1
20696,0
20697,0
20699,3
20700,4
20701,0
20702,2
20703,1
20705,2
20706,2
20708,0
20709,1
20711,1
20713,2
20714,3
20715,0
20719,1
20720,1
20721,0
20724,4
20729,2
20730,2
20732,1
20733,0
20735,0
20737,2
20739,0
20741,4
20742,4
20743,3
20744,0
20745,2
20746,1
20749,4
20750,3
20751,4
20754,1
20756,0
20757,1
20758,4
20759,0
20761,3
20762,1
20765,2
20768,0
20771,3
20772,1
20773,2
20774,1
20775,4
20777,3
20781,2
20783,4
20785,1
20786,2
20788,0
20789,0
20793,4
20795,1
20800,2
20801,4
20802,2
20803,2
20807,4
20809,4
20810,2
20811,3
20812,2
20815,1
20817,1
20818,4
20820,2
20822,1
20823,0
20824,2
20826,2
20827,1
20828,2
20830,0
20831,4
20832,3
20835,1
20838,0
20840,2
20843,2
20845,1
20846,2
20847,0
20849,0
20852,2
20853,4
20855,3
20859,1
20862,2
20863,2
20864,2
20865,2
20870,2
20877,3
20878,3
20879,2
20882,4
20883,4
20885,3
20886,1
20892,2
20894,2
20899,1
20901,0
20902,4
20904,1
20906,4
20907,1
20908,4
20910,1
20912,1
20913,3
20914,3
20917,4
20919,2
20920,1
20922,2
20924,1
20925,2
20927,1
20928,1
20931,3
20932,1
20933,1
20936,2
20937,3
20941,0
20942,1
20945,4
20946,1
20947,0
20948,2
20949,2
20951,4
20953,1
20956,4
20957,4
20961,0
20962,1
20965,2
20966,1
20967,4
20968,1
20970,2
20975,1
20976,2
20982,0
20985,4
20986,2
20987,1
20990,4
20991,2
20994,2
20995,1
20996,3
20997,4
21001,4
21003,3
21006,1
21007,1
21008,0
21014,0
21016,2
21022,4
21024,0
21027,4
21028,2
21032,2
21033,1
21034,4
21035,1
21037,4
21038,3
21039,1
21040,4
21042,1
21044,1
21048,0
21049,2
21055,3
21056,4
21057,2
21058,1
21064,1
21065,4
21073,1
21074,1
21077,2
21079,1
21080,2
21084,4
21086,1
21087,1
21088,2
21092,1
21093,1
21097,1
21099,4
21105,4
21109,1
21110,1
21111,1
21112,1
21114,1
21118,3
21119,1
21126,4
21129,1
21131,2
21135,1
21140,1
21142,4
21144,1
21146,1
21153,4
21154,1
21155,3
21157,4
21159,4
21163,1
21164,4
21167,4
21168,4
21170,0
21171,1
21176,4
21179,1
21180,4
21182,2
21184,4
21190,2
21191,4
21192,0
21194,4
21196,1
21200,0
21201,4
21202,0
21207,4
21209,4
21212,4
21214,1
21218,0
21222,0
21224,3
21226,4
21227,1
21233,4
21244,4
21245,4
21246,4
21248,4
21252,4
21256,4
21259,4
21262,4
21263,4
21265,1
21266,1
21267,4
21276,4
