feature,importance
DIFF(tn),0.8512218781150813
DIFF(cust_request_tn),0.07531188052631928
cust_request_tn,0.07093188134702609
DIFF(cust_request_qty),0.0005116292625874298
TIME_SINCE(periodo),0.0005059640358572505
cust_request_qty,0.0004363530813022326
MONTH(periodo),0.0002445355956145136
"ROLLING_MEAN(productos.first_ventas_time, cust_request_qty)",9.940596361285005e-05
"ROLLING_MEAN(productos.first_ventas_time, cust_request_tn)",9.252737285295006e-05
YEAR(periodo),6.9239011909299e-05
"ROLLING_MEAN(clientes.first_ventas_time, cust_request_qty)",6.40022590295972e-05
"ROLLING_MEAN(periodo, tn)",4.7053977916552035e-05
"ROLLING_MEAN(clientes.first_ventas_time, cust_request_tn)",4.320173518206289e-05
"ROLLING_MEAN(productos.first_ventas_time, tn)",4.161532587640971e-05
productos.NUM_CONSECUTIVE_GREATER_MEAN(ventas.stock_final),3.018499897341927e-05
"ROLLING_MEAN(periodo, cust_request_qty)",2.562145083346222e-05
clientes.STD(ventas.cust_request_tn),2.3679119228534026e-05
"ROLLING_MEAN(clientes.first_ventas_time, stock_final)",2.1294940006236305e-05
"ROLLING_MEAN(clientes.first_ventas_time, tn)",1.9010309920657452e-05
"ROLLING_MEAN(periodo, stock_final)",1.6602371743771184e-05
"ROLLING_MEAN(periodo, cust_request_tn)",1.5811750843154505e-05
DIFF(stock_final),1.4201337827322188e-05
productos.STD(ventas.cust_request_tn),1.4100121084099614e-05
clientes.MAX(ventas.cust_request_tn),1.120960452727142e-05
"ROLLING_MEAN(productos.first_ventas_time, stock_final)",1.0190122054877277e-05
"LAG(stock_final, clientes.first_ventas_time)",9.787519540454943e-06
clientes.MEAN(ventas.cust_request_qty),8.49447772139598e-06
clientes.NUM_CONSECUTIVE_GREATER_MEAN(ventas.sku_size),7.223804934900228e-06
clientes.STD(ventas.plan_precios_cuidados),6.335788960525299e-06
clientes.MEAN(ventas.cust_request_tn),6.126899132554502e-06
productos.MAX(ventas.stock_final),6.0203751207599075e-06
"LAG(stock_final, productos.first_ventas_time)",5.58579556765701e-06
"LAG(stock_final, periodo)",5.385569884985501e-06
productos.MEAN(ventas.cust_request_tn),4.999119561009891e-06
"ROLLING_MEAN(productos.first_ventas_time, sku_size)",4.743438482240068e-06
stock_final,4.563045620432313e-06
clientes.STD(ventas.cust_request_qty),4.538564228402464e-06
