feature,importance
cust_request_tn,302
DIFF_tn,153
venta_id,23
productos_MAX_ventas_cust_request_tn,21
ROLLING_MEAN_periodo__sku_size,20
ROLLING_MEAN_periodo__stock_final,15
cust_request_qty,15
MONTH_periodo,14
LAG_stock_final__periodo,12
DIFF_cust_request_tn,11
DIFF_cust_request_qty,11
productos_MEAN_ventas_cust_request_tn,10
LAG_cat2__periodo,8
clientes_NUM_CONSECUTIVE_GREATER_MEAN_ventas_cust_request_tn,8
clientes_MEAN_ventas_sku_size,7
clientes_MIN_ventas_stock_final,7
productos_MEAN_ventas_stock_final,7
productos_NUM_CONSECUTIVE_GREATER_MEAN_ventas_stock_final,7
DIFF_sku_size,7
stock_final,6
ROLLING_MEAN_periodo__cust_request_tn,6
DIFF_stock_final,5
brand,5
clientes_MEDIAN_ventas_cust_request_qty,5
ROLLING_MEAN_periodo__cust_request_qty,5
productos_STD_ventas_cust_request_qty,4
clientes_MAX_ventas_cust_request_tn,4
clientes_NUM_CONSECUTIVE_GREATER_MEAN_ventas_sku_size,4
LAG_cust_request_tn__periodo,4
clientes_NUM_CONSECUTIVE_GREATER_MEAN_ventas_stock_final,3
clientes_STD_ventas_stock_final,3
productos_MAX_ventas_stock_final,3
productos_STD_ventas_cust_request_tn,3
productos_MAX_ventas_tn,3
cat2,3
LAG_cat3__periodo,3
productos_MIN_ventas_stock_final,3
clientes_MEAN_ventas_stock_final,3
LAG_sku_size__periodo,3
clientes_MIN_ventas_sku_size,2
clientes_MAX_ventas_cust_request_qty,2
productos_MEAN_ventas_cust_request_qty,2
productos_STD_ventas_stock_final,1
cat3,1
clientes_MAX_ventas_stock_final,1
clientes_MEAN_ventas_cust_request_tn,1
clientes_MEDIAN_ventas_sku_size,1
LAG_brand__periodo,1
sku_size,1
clientes_NUM_CONSECUTIVE_GREATER_MEAN_ventas_cust_request_qty,1
DIFF_plan_precios_cuidados,0
LAG_cat1__periodo,0
plan_precios_cuidados,0
product_id,0
customer_id,0
cat1,0
LAG_cust_request_qty__periodo,0
clientes_MEDIAN_ventas_stock_final,0
clientes_MEDIAN_ventas_tn,0
clientes_MEDIAN_ventas_cust_request_tn,0
clientes_MEAN_ventas_tn,0
clientes_MAX_ventas_sku_size,0
clientes_MEAN_ventas_cust_request_qty,0
clientes_MEAN_ventas_plan_precios_cuidados,0
clientes_MAX_ventas_plan_precios_cuidados,0
clientes_MAX_ventas_tn,0
clientes_MEDIAN_ventas_plan_precios_cuidados,0
LAG_tn__periodo,0
clientes_N_UNIQUE_DAYS_ventas_periodo,0
clientes_MIN_ventas_tn,0
clientes_MIN_ventas_plan_precios_cuidados,0
clientes_MIN_ventas_cust_request_qty,0
clientes_STD_ventas_plan_precios_cuidados,0
clientes_STD_ventas_cust_request_tn,0
clientes_STD_ventas_cust_request_qty,0
clientes_NUM_CONSECUTIVE_GREATER_MEAN_ventas_tn,0
clientes_NUM_CONSECUTIVE_GREATER_MEAN_ventas_plan_precios_cuidados,0
clientes_MIN_ventas_cust_request_tn,0
clientes_STD_ventas_tn,0
clientes_STD_ventas_sku_size,0
productos_MAX_ventas_cust_request_qty,0
clientes_YEAR_first_ventas_time,0
LAG_plan_precios_cuidados__periodo,0
TIME_SINCE_periodo,0
TIME_SINCE_PREVIOUS_periodo,0
YEAR_periodo,0
ROLLING_MEAN_periodo__tn,0
ROLLING_MEAN_periodo__plan_precios_cuidados,0
productos_MEAN_ventas_plan_precios_cuidados,0
productos_MAX_ventas_sku_size,0
productos_MAX_ventas_plan_precios_cuidados,0
clientes_MONTH_first_ventas_time,0
clientes_TIME_SINCE_first_ventas_time,0
clientes_TIME_SINCE_PREVIOUS_first_ventas_time,0
productos_MEAN_ventas_tn,0
productos_MEAN_ventas_sku_size,0
productos_MEDIAN_ventas_stock_final,0
productos_MEDIAN_ventas_tn,0
productos_MIN_ventas_cust_request_tn,0
productos_MIN_ventas_cust_request_qty,0
productos_MEDIAN_ventas_cust_request_tn,0
productos_MEDIAN_ventas_plan_precios_cuidados,0
productos_MEDIAN_ventas_sku_size,0
productos_MEDIAN_ventas_cust_request_qty,0
productos_N_UNIQUE_DAYS_ventas_periodo,0
productos_MIN_ventas_tn,0
productos_MIN_ventas_sku_size,0
productos_MIN_ventas_plan_precios_cuidados,0
productos_NUM_CONSECUTIVE_GREATER_MEAN_ventas_sku_size,0
productos_NUM_CONSECUTIVE_GREATER_MEAN_ventas_plan_precios_cuidados,0
productos_NUM_CONSECUTIVE_GREATER_MEAN_ventas_cust_request_tn,0
productos_NUM_CONSECUTIVE_GREATER_MEAN_ventas_cust_request_qty,0
productos_NUM_CONSECUTIVE_GREATER_MEAN_ventas_tn,0
productos_STD_ventas_plan_precios_cuidados,0
productos_STD_ventas_sku_size,0
productos_STD_ventas_tn,0
productos_MONTH_first_ventas_time,0
productos_TIME_SINCE_first_ventas_time,0
productos_TIME_SINCE_PREVIOUS_first_ventas_time,0
productos_YEAR_first_ventas_time,0
LAG_brand__clientes_first_ventas_time,0
LAG_brand__productos_first_ventas_time,0
LAG_cat1__clientes_first_ventas_time,0
LAG_cat1__productos_first_ventas_time,0
LAG_cat2__clientes_first_ventas_time,0
LAG_cat2__productos_first_ventas_time,0
LAG_cat3__clientes_first_ventas_time,0
