Producto 20001: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20002: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20003: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20004: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20005: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20006: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20007: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20008: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20009: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20010: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20011: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20012: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20013: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20014: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20015: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20016: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20017: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20018: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20019: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20020: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20021: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20022: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20023: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20024: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20025: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20026: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20027: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20028: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20029: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20030: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20031: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20033: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20035: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20037: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20038: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20039: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20041: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20042: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20043: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20044: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20045: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20046: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20047: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20049: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20050: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20051: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20052: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20053: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20054: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20055: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20056: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20057: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20058: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20059: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20061: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20062: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20063: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20065: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20066: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20067: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20068: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20069: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20070: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20071: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20072: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20073: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20074: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20075: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20076: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20077: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20079: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20080: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20081: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20082: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20084: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20086: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20087: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20090: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20091: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20092: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20093: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20094: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20095: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20096: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20097: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20099: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20100: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20101: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20102: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20103: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20106: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20107: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20108: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20109: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20111: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20112: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20114: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20116: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20117: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20118: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20119: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20120: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20121: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20122: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20123: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20124: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20125: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20126: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20129: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20130: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20132: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20133: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20134: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20135: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20137: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20138: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20139: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20140: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20142: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20143: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20144: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20145: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20146: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20148: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20150: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20151: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20152: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20153: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20155: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20157: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20158: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20159: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20160: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20161: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20162: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20164: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20166: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20167: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20168: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20170: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20175: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20176: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20177: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20179: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20180: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20181: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20182: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20183: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20184: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20187: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20188: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20189: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20192: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20193: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20196: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20197: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20198: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20200: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20201: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20202: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20203: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20205: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20206: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20207: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20208: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20209: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20211: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20212: mejor modelo = regresion, MAE sep-nov = 0.0000
