Producto 20001: MAEs - LGBM=109.3827, Reg=91.6811, ARIMA=26.9881, AutoGluon=inf, XGB=inf
Producto 20002: MAEs - LGBM=80.1672, Reg=98.4342, ARIMA=248.2022, AutoGluon=inf, XGB=inf
Producto 20003: MAEs - LGBM=3.5970, Reg=217.7071, ARIMA=92.1156, AutoGluon=inf, XGB=inf
Producto 20004: MAEs - LGBM=34.6787, Reg=265.0502, ARIMA=24.0907, AutoGluon=inf, XGB=inf
Producto 20005: MAEs - LGBM=52.4120, Reg=194.8642, ARIMA=26.4275, AutoGluon=inf, XGB=inf
Producto 20006: MAEs - LGBM=173.3828, Reg=119.0249, ARIMA=30.5319, AutoGluon=inf, XGB=inf
Producto 20007: MAEs - LGBM=227.5091, Reg=201.7871, ARIMA=11.1406, AutoGluon=inf, XGB=inf
Producto 20008: MAEs - LGBM=369.0007, Reg=315.9602, ARIMA=215.7959, AutoGluon=inf, XGB=inf
Producto 20009: MAEs - LGBM=26.5789, Reg=42.0432, ARIMA=117.0913, AutoGluon=inf, XGB=inf
Producto 20010: MAEs - LGBM=163.5851, Reg=237.7545, ARIMA=108.7848, AutoGluon=inf, XGB=inf
Producto 20011: MAEs - LGBM=55.9892, Reg=20.1657, ARIMA=33.3368, AutoGluon=inf, XGB=inf
Producto 20012: MAEs - LGBM=330.8834, Reg=305.4842, ARIMA=153.2788, AutoGluon=inf, XGB=inf
Producto 20013: MAEs - LGBM=128.2587, Reg=113.0831, ARIMA=114.3985, AutoGluon=inf, XGB=inf
Producto 20014: MAEs - LGBM=182.4206, Reg=236.5765, ARIMA=176.8186, AutoGluon=inf, XGB=inf
Producto 20015: MAEs - LGBM=117.9544, Reg=162.8903, ARIMA=85.0170, AutoGluon=inf, XGB=inf
Producto 20016: MAEs - LGBM=129.0323, Reg=159.6001, ARIMA=22.0324, AutoGluon=inf, XGB=inf
Producto 20017: MAEs - LGBM=162.4946, Reg=114.3041, ARIMA=30.9395, AutoGluon=inf, XGB=inf
Producto 20018: MAEs - LGBM=230.8550, Reg=189.1062, ARIMA=128.4138, AutoGluon=inf, XGB=inf
Producto 20019: MAEs - LGBM=31.7379, Reg=153.9161, ARIMA=51.5622, AutoGluon=inf, XGB=inf
Producto 20020: MAEs - LGBM=76.5743, Reg=69.3332, ARIMA=39.2409, AutoGluon=inf, XGB=inf
Producto 20021: MAEs - LGBM=147.6078, Reg=214.3741, ARIMA=81.2564, AutoGluon=inf, XGB=inf
Producto 20022: MAEs - LGBM=88.6844, Reg=88.7841, ARIMA=69.6021, AutoGluon=inf, XGB=inf
Producto 20023: MAEs - LGBM=111.8431, Reg=197.8651, ARIMA=102.2511, AutoGluon=inf, XGB=inf
Producto 20024: MAEs - LGBM=25.7859, Reg=38.2179, ARIMA=65.8178, AutoGluon=inf, XGB=inf
Producto 20025: MAEs - LGBM=17.4536, Reg=38.4160, ARIMA=15.0352, AutoGluon=inf, XGB=inf
Producto 20026: MAEs - LGBM=27.9847, Reg=69.3599, ARIMA=51.3226, AutoGluon=inf, XGB=inf
Producto 20027: MAEs - LGBM=80.9851, Reg=90.6941, ARIMA=65.1814, AutoGluon=inf, XGB=inf
Producto 20028: MAEs - LGBM=150.9904, Reg=151.4383, ARIMA=91.3104, AutoGluon=inf, XGB=inf
Producto 20029: MAEs - LGBM=94.9922, Reg=54.2223, ARIMA=16.6554, AutoGluon=inf, XGB=inf
Producto 20030: MAEs - LGBM=177.8202, Reg=150.8799, ARIMA=4.4898, AutoGluon=inf, XGB=inf
Producto 20031: MAEs - LGBM=101.7599, Reg=139.7839, ARIMA=93.8076, AutoGluon=inf, XGB=inf
Producto 20033: MAEs - LGBM=124.8555, Reg=180.9098, ARIMA=87.5211, AutoGluon=inf, XGB=inf
Producto 20035: MAEs - LGBM=34.5252, Reg=63.0723, ARIMA=8.9145, AutoGluon=inf, XGB=inf
Producto 20037: MAEs - LGBM=109.7306, Reg=36.8238, ARIMA=42.7716, AutoGluon=inf, XGB=inf
Producto 20038: MAEs - LGBM=40.0748, Reg=16.9619, ARIMA=10.7896, AutoGluon=inf, XGB=inf
Producto 20039: MAEs - LGBM=53.3726, Reg=33.7135, ARIMA=10.5298, AutoGluon=inf, XGB=inf
Producto 20041: MAEs - LGBM=80.5082, Reg=106.2338, ARIMA=27.3833, AutoGluon=inf, XGB=inf
Producto 20042: MAEs - LGBM=43.0601, Reg=34.6053, ARIMA=52.8113, AutoGluon=inf, XGB=inf
Producto 20043: MAEs - LGBM=96.4519, Reg=116.5078, ARIMA=49.2091, AutoGluon=inf, XGB=inf
Producto 20044: MAEs - LGBM=114.1807, Reg=106.2283, ARIMA=117.6676, AutoGluon=inf, XGB=inf
Producto 20045: MAEs - LGBM=27.3785, Reg=45.0220, ARIMA=11.8157, AutoGluon=inf, XGB=inf
Producto 20046: MAEs - LGBM=24.3294, Reg=42.7444, ARIMA=5.9792, AutoGluon=inf, XGB=inf
Producto 20047: MAEs - LGBM=103.8879, Reg=87.1508, ARIMA=113.7790, AutoGluon=inf, XGB=inf
Producto 20049: MAEs - LGBM=90.2242, Reg=97.3420, ARIMA=101.2086, AutoGluon=inf, XGB=inf
Producto 20050: MAEs - LGBM=51.5479, Reg=67.9336, ARIMA=20.8445, AutoGluon=inf, XGB=inf
Producto 20051: MAEs - LGBM=39.8172, Reg=38.6035, ARIMA=4.2467, AutoGluon=inf, XGB=inf
Producto 20052: MAEs - LGBM=80.3563, Reg=80.2271, ARIMA=44.2014, AutoGluon=inf, XGB=inf
Producto 20053: MAEs - LGBM=5.7994, Reg=3.7198, ARIMA=1.1081, AutoGluon=inf, XGB=inf
